,en,fr
input.dash,"Dash","Esquiver"
input.dash_description,"EVADE - set the input to dash","Esquiver - définis la touche pour esquiver une esquive"
input.interaction,"Interaction","Interaction"
input.interaction_description,"INTERACTION - set the input to interact with the world","INTERACTION - définis la touche pour intéragir avec le monde"
input.jump,"Jump","Sauter"
input.jump_description,"JUMP - set the input to jump in the air","SAUTER - définis la touche pour sauter dans les airs"
input.move_up,"Move up","Haut"
input.move_up_description,"MOVE UP - set the input to move forward","HAUT - définis la touche pour avancer"
input.move_down,"Move down","Bas"
input.move_down_description,"MOVE DOWN - set the input to move backward","BAS - définis pour le déplacement vers l'arrière"
input.move_left,"Move Left","Gauche"
input.move_left_description,"MOVE LEFT - set the input to move left","GAUCHE - définis pour le déplacement à gauche"
input.move_right,"Move right","Droite"
input.move_right_description,"MOVE RIGHT - set the input to move right","DROITE - définis la touche pour le déplacement à droite"
input.next_character,"Next Character","Personnage suivant"
input.next_character_description,"NEXT CHARACTER - select the next character","PERSONNAGE SUIVANT - sélecitonne le personnage suivant"
input.pause,"Pause","Pause"
input.pause_description,"PAUSE - set the input to pause the game","PAUSE - définis la touche pour mettre en pause le jeu"
input.prev_character,"Previous Character","Personnage précédent"
input.prev_character_description,"PREVIOUS CHARACTER - select the previous character","PERSONNAGE PRÉCÉDENT - sélecitonne le personnage précédent"
input.switch_to_fox,"Switch to Foxy","Changer pour Foxy"
input.switch_to_fox_description,"Switch to Foxy","CHANGER POUR FOXY - permet de contrôler Foxy"
input.switch_to_squirrel,"Switch to Mr. Noix","Changer pour Mr. Noix"
input.switch_to_squirrel_description,"Switch to Mr. Noix","CHANGER POUR MR. NOIX - permet de contrôler MR. NOIX"
input.switch_to_rabbit,"Switch to Jazzy","Changer pour Jazzy"
input.switch_to_rabbit_description,"Switch to Jazzy","CHANGER POUR JAZZY - permet de contrôler Jazzy"
