,en,fr
level.level1,"Level 1","Niveau 1"
level.level2,"Level 2","Niveau 2"
level.level3,"Level 3","Niveau 3"
level.level4,"Level 4","Niveau 4"
level.level5,"Level 5","Niveau 5"
level.level6,"Level 6","Niveau 6"
level.level7,"Level 7","Niveau 7"
level.level8,"Level 8","Niveau 8"
level.level9,"Level 9","Niveau 9"
level.level10,"Level 10","Niveau 10"
level.level11,"Level 11","Niveau 11"
level.level12,"Level 12","Niveau 12"
level.level13,"Level 13","Niveau 13"
level.level14,"Level 14","Niveau 14"
level.level15,"Level 15","Niveau 15"
level.level16,"Level 16","Niveau 16"
level.level17,"Level 17","Niveau 17"
level.level18,"Level 18","Niveau 18"
level.boss,"Final encounter","L'affrontement final"
